Gemeentenaam,LON(east),LAT(north)
ZEEWOLDE,52.332,5.545
ZEIST,52.082,5.239
ZEVENAAR,51.924,6.075
ZOETERMEER,52.061,4.493
ZOETERWOUDE,52.125,4.498
NIEUWERKERK AD IJSSEL,51.968,4.617
ZUNDERT,51.473,4.664
ZUTPHEN,52.14,6.195
HASSELT,52.592,6.096
ZWIJNDRECHT,51.818,4.647
ZWOLLE,52.503,6.091
