Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam
233,ERMELO,25,GELDERLAND
777,ETTEN-LEUR,30,NOORD-BRABANT
1940,DE FRYSKE MARREN,21,FRIESLAND
779,GEERTRUIDENBERG,30,NOORD-BRABANT
1771,GELDROP-MIERLO,30,NOORD-BRABANT
1652,GEMERT-BAKEL,30,NOORD-BRABANT
907,GENNEP,31,LIMBURG
784,GILZE EN RIJEN,30,NOORD-BRABANT
1924,GOEREE-OVERFLAKKEE,28,ZUID-HOLLAND
664,GOES,29,ZEELAND
785,GOIRLE,30,NOORD-BRABANT
1942,GOOISE MEREN,27,NOORD-HOLLAND
512,GORINCHEM,28,ZUID-HOLLAND
513,GOUDA,28,ZUID-HOLLAND
786,GRAVE,30,NOORD-BRABANT
518,'S-GRAVENHAGE,28,ZUID-HOLLAND
14,GRONINGEN,20,GRONINGEN
1729,GULPEN-WITTEM,31,LIMBURG
158,HAAKSBERGEN,23,OVERIJSSEL
788,HAAREN,30,NOORD-BRABANT
392,HAARLEM,27,NOORD-HOLLAND
394,HAARLEMMERMEER,27,NOORD-HOLLAND
1655,HALDERBERGE,30,NOORD-BRABANT
160,HARDENBERG,23,OVERIJSSEL
243,HARDERWIJK,25,GELDERLAND
523,HARDINXVELD-GIESSENDAM,28,ZUID-HOLLAND
72,HARLINGEN,21,FRIESLAND
244,HATTEM,25,GELDERLAND
396,HEEMSKERK,27,NOORD-HOLLAND
397,HEEMSTEDE,27,NOORD-HOLLAND
246,HEERDE,25,GELDERLAND
74,HEERENVEEN,21,FRIESLAND
398,HEERHUGOWAARD,27,NOORD-HOLLAND
917,HEERLEN,31,LIMBURG
1658,HEEZE-LEENDE,30,NOORD-BRABANT
399,HEILOO,27,NOORD-HOLLAND
400,DEN HELDER,27,NOORD-HOLLAND
163,HELLENDOORN,23,OVERIJSSEL
530,HELLEVOETSLUIS,28,ZUID-HOLLAND
794,HELMOND,30,NOORD-BRABANT
531,HENDRIK-IDO-AMBACHT,28,ZUID-HOLLAND
164,HENGELO,23,OVERIJSSEL
796,'S-HERTOGENBOSCH,30,NOORD-BRABANT
252,HEUMEN,25,GELDERLAND
797,HEUSDEN,30,NOORD-BRABANT
534,HILLEGOM,28,ZUID-HOLLAND
798,HILVARENBEEK,30,NOORD-BRABANT
402,HILVERSUM,27,NOORD-HOLLAND
1963,HOEKSCHE WAARD,28,ZUID-HOLLAND
1735,HOF VAN TWENTE,23,OVERIJSSEL
1966,HET HOGELAND,20,GRONINGEN
1911,HOLLANDS KROON,27,NOORD-HOLLAND
118,HOOGEVEEN,22,DRENTHE
405,HOORN,27,NOORD-HOLLAND
1507,HORST AAN DE MAAS,31,LIMBURG
321,HOUTEN,26,UTRECHT
406,HUIZEN,27,NOORD-HOLLAND
677,HULST,29,ZEELAND
353,IJSSELSTEIN,26,UTRECHT
1884,KAAG EN BRAASSEM,28,ZUID-HOLLAND
166,KAMPEN,23,OVERIJSSEL
678,KAPELLE,29,ZEELAND
537,KATWIJK,28,ZUID-HOLLAND
928,KERKRADE,31,LIMBURG
1598,KOGGENLAND,27,NOORD-HOLLAND
542,KRIMPEN AAN DEN IJSSEL,28,ZUID-HOLLAND
1931,KRIMPENERWAARD,28,ZUID-HOLLAND
1659,LAARBEEK,30,NOORD-BRABANT
1685,LANDERD,30,NOORD-BRABANT
882,LANDGRAAF,31,LIMBURG
415,LANDSMEER,27,NOORD-HOLLAND
416,LANGEDIJK,27,NOORD-HOLLAND
1621,LANSINGERLAND,28,ZUID-HOLLAND
417,LAREN,27,NOORD-HOLLAND
80,LEEUWARDEN,21,FRIESLAND
546,LEIDEN,28,ZUID-HOLLAND
547,LEIDERDORP,28,ZUID-HOLLAND
1916,LEIDSCHENDAM-VOORBURG,28,ZUID-HOLLAND
995,LELYSTAD,24,FLEVOLAND
1640,LEUDAL,31,LIMBURG
327,LEUSDEN,26,UTRECHT
1705,LINGEWAARD,25,GELDERLAND
553,LISSE,28,ZUID-HOLLAND
262,LOCHEM,25,GELDERLAND
809,LOON OP ZAND,30,NOORD-BRABANT
331,LOPIK,26,UTRECHT
24,LOPPERSUM,20,GRONINGEN
168,LOSSER,23,OVERIJSSEL
263,MAASDRIEL,25,GELDERLAND
1641,MAASGOUW,31,LIMBURG
556,MAASSLUIS,28,ZUID-HOLLAND
935,MAASTRICHT,31,LIMBURG
420,MEDEMBLIK,27,NOORD-HOLLAND
938,MEERSSEN,31,LIMBURG
1948,MEIERIJSTAD,30,NOORD-BRABANT
119,MEPPEL,22,DRENTHE
687,MIDDELBURG,29,ZEELAND
1842,MIDDEN-DELFLAND,28,ZUID-HOLLAND
1731,MIDDEN-DRENTHE,22,DRENTHE
1952,MIDDEN-GRONINGEN,20,GRONINGEN
815,MILL EN SINT HUBERT,30,NOORD-BRABANT
1709,MOERDIJK,30,NOORD-BRABANT
1978,MOLENLANDEN,28,ZUID-HOLLAND
1955,MONTFERLAND,25,GELDERLAND
335,MONTFOORT,26,UTRECHT
944,MOOK EN MIDDELAAR,31,LIMBURG
1740,NEDER-BETUWE,25,GELDERLAND
946,NEDERWEERT,31,LIMBURG
356,NIEUWEGEIN,26,UTRECHT
569,NIEUWKOOP,28,ZUID-HOLLAND
267,NIJKERK,25,GELDERLAND
268,NIJMEGEN,25,GELDERLAND
1930,NISSEWAARD,28,ZUID-HOLLAND
1970,NOARDEAST-FRYSLÂN,21,FRIESLAND
1695,NOORD-BEVELAND,29,ZEELAND
1699,NOORDENVELD,22,DRENTHE
171,NOORDOOSTPOLDER,24,FLEVOLAND
575,NOORDWIJK,28,ZUID-HOLLAND
820,"NUENEN, GERWEN EN NEDERWETTEN",30,NOORD-BRABANT
302,NUNSPEET,25,GELDERLAND
579,OEGSTGEEST,28,ZUID-HOLLAND
823,OIRSCHOT,30,NOORD-BRABANT
824,OISTERWIJK,30,NOORD-BRABANT
1895,OLDAMBT,20,GRONINGEN
269,OLDEBROEK,25,GELDERLAND
173,OLDENZAAL,23,OVERIJSSEL
1773,OLST-WIJHE,23,OVERIJSSEL
175,OMMEN,23,OVERIJSSEL
1586,OOST GELRE,25,GELDERLAND
826,OOSTERHOUT,30,NOORD-BRABANT
85,OOSTSTELLINGWERF,21,FRIESLAND
431,OOSTZAAN,27,NOORD-HOLLAND
432,OPMEER,27,NOORD-HOLLAND
86,OPSTERLAND,21,FRIESLAND
828,OSS,30,NOORD-BRABANT
1509,OUDE IJSSELSTREEK,25,GELDERLAND
437,OUDER-AMSTEL,27,NOORD-HOLLAND
589,OUDEWATER,26,UTRECHT
1734,OVERBETUWE,25,GELDERLAND
590,PAPENDRECHT,28,ZUID-HOLLAND
1894,PEEL EN MAAS,31,LIMBURG
765,PEKELA,20,GRONINGEN
1926,PIJNACKER-NOOTDORP,28,ZUID-HOLLAND
439,PURMEREND,27,NOORD-HOLLAND
273,PUTTEN,25,GELDERLAND
177,RAALTE,23,OVERIJSSEL
703,REIMERSWAAL,29,ZEELAND
274,RENKUM,25,GELDERLAND
339,RENSWOUDE,26,UTRECHT
1667,REUSEL-DE MIERDEN,30,NOORD-BRABANT
275,RHEDEN,25,GELDERLAND
340,RHENEN,26,UTRECHT
597,RIDDERKERK,28,ZUID-HOLLAND
1742,RIJSSEN-HOLTEN,23,OVERIJSSEL
603,RIJSWIJK,28,ZUID-HOLLAND
1669,ROERDALEN,31,LIMBURG
957,ROERMOND,31,LIMBURG
736,DE RONDE VENEN,26,UTRECHT
1674,ROOSENDAAL,30,NOORD-BRABANT
599,ROTTERDAM,28,ZUID-HOLLAND
277,ROZENDAAL,25,GELDERLAND
840,RUCPHEN,30,NOORD-BRABANT
441,SCHAGEN,27,NOORD-HOLLAND
279,SCHERPENZEEL,25,GELDERLAND
606,SCHIEDAM,28,ZUID-HOLLAND
88,SCHIERMONNIKOOG,21,FRIESLAND
1676,SCHOUWEN-DUIVELAND,29,ZEELAND
965,SIMPELVELD,31,LIMBURG
1702,SINT ANTHONIS,30,NOORD-BRABANT
845,SINT-MICHIELSGESTEL,30,NOORD-BRABANT
1883,SITTARD-GELEEN,31,LIMBURG
610,SLIEDRECHT,28,ZUID-HOLLAND
1714,SLUIS,29,ZEELAND
90,SMALLINGERLAND,21,FRIESLAND
342,SOEST,26,UTRECHT
847,SOMEREN,30,NOORD-BRABANT
848,SON EN BREUGEL,30,NOORD-BRABANT
37,STADSKANAAL,20,GRONINGEN
180,STAPHORST,23,OVERIJSSEL
532,STEDE BROEC,27,NOORD-HOLLAND
851,STEENBERGEN,30,NOORD-BRABANT
1708,STEENWIJKERLAND,23,OVERIJSSEL
971,STEIN,31,LIMBURG
1904,STICHTSE VECHT,26,UTRECHT
1900,SÚDWEST-FRYSLÂN,21,FRIESLAND
715,TERNEUZEN,29,ZEELAND
93,TERSCHELLING,21,FRIESLAND
448,TEXEL,27,NOORD-HOLLAND
1525,TEYLINGEN,28,ZUID-HOLLAND
716,THOLEN,29,ZEELAND
281,TIEL,25,GELDERLAND
855,TILBURG,30,NOORD-BRABANT
183,TUBBERGEN,23,OVERIJSSEL
1700,TWENTERAND,23,OVERIJSSEL
1730,TYNAARLO,22,DRENTHE
737,TYTSJERKSTERADIEL,21,FRIESLAND
856,UDEN,30,NOORD-BRABANT
450,UITGEEST,27,NOORD-HOLLAND
451,UITHOORN,27,NOORD-HOLLAND
184,URK,24,FLEVOLAND
344,UTRECHT,26,UTRECHT
1581,UTRECHTSE HEUVELRUG,26,UTRECHT
981,VAALS,31,LIMBURG
994,VALKENBURG AAN DE GEUL,31,LIMBURG
858,VALKENSWAARD,30,NOORD-BRABANT
47,VEENDAM,20,GRONINGEN
345,VEENENDAAL,26,UTRECHT
717,VEERE,29,ZEELAND
861,VELDHOVEN,30,NOORD-BRABANT
453,VELSEN,27,NOORD-HOLLAND
983,VENLO,31,LIMBURG
984,VENRAY,31,LIMBURG
1961,VIJFHEERENLANDEN,26,UTRECHT
622,VLAARDINGEN,28,ZUID-HOLLAND
96,VLIELAND,21,FRIESLAND
718,VLISSINGEN,29,ZEELAND
986,VOERENDAAL,31,LIMBURG
626,VOORSCHOTEN,28,ZUID-HOLLAND
285,VOORST,25,GELDERLAND
865,VUGHT,30,NOORD-BRABANT
1949,WAADHOEKE,21,FRIESLAND
866,WAALRE,30,NOORD-BRABANT
867,WAALWIJK,30,NOORD-BRABANT
627,WADDINXVEEN,28,ZUID-HOLLAND
289,WAGENINGEN,25,GELDERLAND
629,WASSENAAR,28,ZUID-HOLLAND
852,WATERLAND,27,NOORD-HOLLAND
988,WEERT,31,LIMBURG
457,WEESP,27,NOORD-HOLLAND
1960,WEST BETUWE,25,GELDERLAND
668,WEST MAAS EN WAAL,25,GELDERLAND
1969,WESTERKWARTIER,20,GRONINGEN
1701,WESTERVELD,22,DRENTHE
293,WESTERVOORT,25,GELDERLAND
1950,WESTERWOLDE,20,GRONINGEN
1783,WESTLAND,28,ZUID-HOLLAND
98,WESTSTELLINGWERF,21,FRIESLAND
614,WESTVOORNE,28,ZUID-HOLLAND
189,WIERDEN,23,OVERIJSSEL
296,WIJCHEN,25,GELDERLAND
1696,WIJDEMEREN,27,NOORD-HOLLAND
352,WIJK BIJ DUURSTEDE,26,UTRECHT
294,WINTERSWIJK,25,GELDERLAND
873,WOENSDRECHT,30,NOORD-BRABANT
632,WOERDEN,26,UTRECHT
1690,DE WOLDEN,22,DRENTHE
880,WORMERLAND,27,NOORD-HOLLAND
351,WOUDENBERG,26,UTRECHT
479,ZAANSTAD,27,NOORD-HOLLAND
297,ZALTBOMMEL,25,GELDERLAND
473,ZANDVOORT,27,NOORD-HOLLAND
50,ZEEWOLDE,24,FLEVOLAND
355,ZEIST,26,UTRECHT
299,ZEVENAAR,25,GELDERLAND
637,ZOETERMEER,28,ZUID-HOLLAND
638,ZOETERWOUDE,28,ZUID-HOLLAND
1892,ZUIDPLAS,28,ZUID-HOLLAND
879,ZUNDERT,30,NOORD-BRABANT
301,ZUTPHEN,25,GELDERLAND
1896,ZWARTEWATERLAND,23,OVERIJSSEL
642,ZWIJNDRECHT,28,ZUID-HOLLAND
193,ZWOLLE,23,OVERIJSSEL
